name,category,description,price
"SG204","Tubes And Cylinders","SG204 - industrial composite",0
"HT276","Tubes And Cylinders","HT276 - industrial composite",0
"Products","Threaded Rods","Products - industrial composite",0
"Glass Fabric Laminates","Threaded Rods","Glass Fabric Laminates - industrial composite",0
"Glass Matte Laminates","Threaded Rods","Glass Matte Laminates - industrial composite",0
"Speciality Laminates","Threaded Rods","Speciality Laminates - industrial composite",0
"MICA","Threaded Rods","MICA - industrial composite",0
"Tubes And Cylinders","Threaded Rods","Tubes And Cylinders - industrial composite",0
"Threaded Rods","Threaded Rods","Threaded Rods - industrial composite",0
"FR4 / EPGC 202","Threaded Rods","FR4 / EPGC 202 - industrial composite",0
"G10 / EPGC 201","Threaded Rods","G10 / EPGC 201 - industrial composite",0
"G11 / EPGC 202","Threaded Rods","G11 / EPGC 202 - industrial composite",0
"G7 / SIGC 202","Threaded Rods","G7 / SIGC 202 - industrial composite",0
"G30 / PFGC 301","Threaded Rods","G30 / PFGC 301 - industrial composite",0
"GPO1 / UPGM 201","Threaded Rods","GPO1 / UPGM 201 - industrial composite",0
"GPO2 / UPGM 202","Threaded Rods","GPO2 / UPGM 202 - industrial composite",0
"GPO3 / UPGM 203","Threaded Rods","GPO3 / UPGM 203 - industrial composite",0
"SG204 / GPO1","Threaded Rods","SG204 / GPO1 - industrial composite",0
"HT276 / UPGM 204/205","Threaded Rods","HT276 / UPGM 204/205 - industrial composite",0
"P1 / PF CP 201","Threaded Rods","P1 / PF CP 201 - industrial composite",0
"P2 / PF CP 207","Threaded Rods","P2 / PF CP 207 - industrial composite",0
"P3 / PF CP 203","Threaded Rods","P3 / PF CP 203 - industrial composite",0
"P4 / PF CP 204","Threaded Rods","P4 / PF CP 204 - industrial composite",0
"F2 / PF CC 202 / 305","Threaded Rods","F2 / PF CC 202 / 305 - industrial composite",0
"F3 / PF CC 203","Threaded Rods","F3 / PF CC 203 - industrial composite",0
"F4 / PF CC 204","Threaded Rods","F4 / PF CC 204 - industrial composite",0
