name,category,description,price
"Threaded Rods","NEMA G7","Threaded Rods - industrial composite",0
"FR4 / EPGC 202","NEMA G7","FR4 / EPGC 202 - industrial composite",0
"G10 / EPGC 201","NEMA G7","G10 / EPGC 201 - industrial composite",0
"G11 / EPGC 202","NEMA G7","G11 / EPGC 202 - industrial composite",0
"G7 / SIGC 202","NEMA G7","G7 / SIGC 202 - industrial composite",0
"G30 / PFGC 301","NEMA G7","G30 / PFGC 301 - industrial composite",0
"GPO1 / UPGM 201","NEMA G7","GPO1 / UPGM 201 - industrial composite",0
"GPO2 / UPGM 202","NEMA G7","GPO2 / UPGM 202 - industrial composite",0
"GPO3 / UPGM 203","NEMA G7","GPO3 / UPGM 203 - industrial composite",0
"SG204 / GPO1","NEMA G7","SG204 / GPO1 - industrial composite",0
"HT276 / UPGM 204/205","NEMA G7","HT276 / UPGM 204/205 - industrial composite",0
"P1 / PF CP 201","NEMA G7","P1 / PF CP 201 - industrial composite",0
"P2 / PF CP 207","NEMA G7","P2 / PF CP 207 - industrial composite",0
"P3 / PF CP 203","NEMA G7","P3 / PF CP 203 - industrial composite",0
"P4 / PF CP 204","NEMA G7","P4 / PF CP 204 - industrial composite",0
"F2 / PF CC 202 / 305","NEMA G7","F2 / PF CC 202 / 305 - industrial composite",0
"F3 / PF CC 203","NEMA G7","F3 / PF CC 203 - industrial composite",0
"F4 / PF CC 204","NEMA G7","F4 / PF CC 204 - industrial composite",0
"F5 / PF CC 204","NEMA G7","F5 / PF CC 204 - industrial composite",0
"Magnetic Laminates","NEMA G7","Magnetic Laminates - industrial composite",0
"MICA Tubes","NEMA G7","MICA Tubes - industrial composite",0
"MICA Sheet","NEMA G7","MICA Sheet - industrial composite",0
"MICA Paper","NEMA G7","MICA Paper - industrial composite",0
"MICA Tape","NEMA G7","MICA Tape - industrial composite",0
"Synthetic MICA Tape","NEMA G7","Synthetic MICA Tape - industrial composite",0
"Muscovite MICA Tape","NEMA G7","Muscovite MICA Tape - industrial composite",0
"Phlogophite MICA Tape","NEMA G7","Phlogophite MICA Tape - industrial composite",0
"Calcinied MICA Tape","NEMA G7","Calcinied MICA Tape - industrial composite",0
"Glass Fabric Laminates |","NEMA G7","Glass Fabric Laminates | - industrial composite",0
"NEMA G7","NEMA G7","NEMA G7 - industrial composite",0
"Excellent chemical resistance & radiation resistance","NEMA G7","Excellent chemical resistance & radiation resistance - industrial composite",0
"RoHS, Reach certified products","NEMA G7","RoHS, Reach certified products - industrial composite",0
"GPO3","NEMA G7","GPO3 - industrial composite",0
"Products","NEMA G5","Products - industrial composite",0
"Glass Fabric Laminates","NEMA G5","Glass Fabric Laminates - industrial composite",0
"Glass Matte Laminates","NEMA G5","Glass Matte Laminates - industrial composite",0
"Speciality Laminates","NEMA G5","Speciality Laminates - industrial composite",0
"MICA","NEMA G5","MICA - industrial composite",0
"Tubes And Cylinders","NEMA G5","Tubes And Cylinders - industrial composite",0
"Threaded Rods","NEMA G5","Threaded Rods - industrial composite",0
"FR4 / EPGC 202","NEMA G5","FR4 / EPGC 202 - industrial composite",0
"G10 / EPGC 201","NEMA G5","G10 / EPGC 201 - industrial composite",0
"G11 / EPGC 202","NEMA G5","G11 / EPGC 202 - industrial composite",0
"G7 / SIGC 202","NEMA G5","G7 / SIGC 202 - industrial composite",0
"G30 / PFGC 301","NEMA G5","G30 / PFGC 301 - industrial composite",0
"GPO1 / UPGM 201","NEMA G5","GPO1 / UPGM 201 - industrial composite",0
"GPO2 / UPGM 202","NEMA G5","GPO2 / UPGM 202 - industrial composite",0
"GPO3 / UPGM 203","NEMA G5","GPO3 / UPGM 203 - industrial composite",0
"SG204 / GPO1","NEMA G5","SG204 / GPO1 - industrial composite",0
"HT276 / UPGM 204/205","NEMA G5","HT276 / UPGM 204/205 - industrial composite",0
"P1 / PF CP 201","NEMA G5","P1 / PF CP 201 - industrial composite",0
"P2 / PF CP 207","NEMA G5","P2 / PF CP 207 - industrial composite",0
"P3 / PF CP 203","NEMA G5","P3 / PF CP 203 - industrial composite",0
"P4 / PF CP 204","NEMA G5","P4 / PF CP 204 - industrial composite",0
"F2 / PF CC 202 / 305","NEMA G5","F2 / PF CC 202 / 305 - industrial composite",0
"F3 / PF CC 203","NEMA G5","F3 / PF CC 203 - industrial composite",0
"F4 / PF CC 204","NEMA G5","F4 / PF CC 204 - industrial composite",0
"F5 / PF CC 204","NEMA G5","F5 / PF CC 204 - industrial composite",0
"Magnetic Laminates","NEMA G5","Magnetic Laminates - industrial composite",0
"MICA Tubes","NEMA G5","MICA Tubes - industrial composite",0
"MICA Sheet","NEMA G5","MICA Sheet - industrial composite",0
"MICA Paper","NEMA G5","MICA Paper - industrial composite",0
"MICA Tape","NEMA G5","MICA Tape - industrial composite",0
"Synthetic MICA Tape","NEMA G5","Synthetic MICA Tape - industrial composite",0
"Muscovite MICA Tape","NEMA G5","Muscovite MICA Tape - industrial composite",0
"Phlogophite MICA Tape","NEMA G5","Phlogophite MICA Tape - industrial composite",0
"Calcinied MICA Tape","NEMA G5","Calcinied MICA Tape - industrial composite",0
"Products","NEMA G30","Products - industrial composite",0
"Glass Fabric Laminates","NEMA G30","Glass Fabric Laminates - industrial composite",0
"Glass Matte Laminates","NEMA G30","Glass Matte Laminates - industrial composite",0
"Speciality Laminates","NEMA G30","Speciality Laminates - industrial composite",0
"MICA","NEMA G30","MICA - industrial composite",0
"Tubes And Cylinders","NEMA G30","Tubes And Cylinders - industrial composite",0
"Threaded Rods","NEMA G30","Threaded Rods - industrial composite",0
"FR4 / EPGC 202","NEMA G30","FR4 / EPGC 202 - industrial composite",0
"G10 / EPGC 201","NEMA G30","G10 / EPGC 201 - industrial composite",0
"G11 / EPGC 202","NEMA G30","G11 / EPGC 202 - industrial composite",0
"G7 / SIGC 202","NEMA G30","G7 / SIGC 202 - industrial composite",0
"G30 / PFGC 301","NEMA G30","G30 / PFGC 301 - industrial composite",0
"GPO1 / UPGM 201","NEMA G30","GPO1 / UPGM 201 - industrial composite",0
"GPO2 / UPGM 202","NEMA G30","GPO2 / UPGM 202 - industrial composite",0
"GPO3 / UPGM 203","NEMA G30","GPO3 / UPGM 203 - industrial composite",0
"SG204 / GPO1","NEMA G30","SG204 / GPO1 - industrial composite",0
"HT276 / UPGM 204/205","NEMA G30","HT276 / UPGM 204/205 - industrial composite",0
"P1 / PF CP 201","NEMA G30","P1 / PF CP 201 - industrial composite",0
"P2 / PF CP 207","NEMA G30","P2 / PF CP 207 - industrial composite",0
"P3 / PF CP 203","NEMA G30","P3 / PF CP 203 - industrial composite",0
"P4 / PF CP 204","NEMA G30","P4 / PF CP 204 - industrial composite",0
"F2 / PF CC 202 / 305","NEMA G30","F2 / PF CC 202 / 305 - industrial composite",0
"F3 / PF CC 203","NEMA G30","F3 / PF CC 203 - industrial composite",0
"F4 / PF CC 204","NEMA G30","F4 / PF CC 204 - industrial composite",0
"F5 / PF CC 204","NEMA G30","F5 / PF CC 204 - industrial composite",0
"Magnetic Laminates","NEMA G30","Magnetic Laminates - industrial composite",0
"MICA Tubes","NEMA G30","MICA Tubes - industrial composite",0
"MICA Sheet","NEMA G30","MICA Sheet - industrial composite",0
"MICA Paper","NEMA G30","MICA Paper - industrial composite",0
"MICA Tape","NEMA G30","MICA Tape - industrial composite",0
"Synthetic MICA Tape","NEMA G30","Synthetic MICA Tape - industrial composite",0
"Muscovite MICA Tape","NEMA G30","Muscovite MICA Tape - industrial composite",0
"Phlogophite MICA Tape","NEMA G30","Phlogophite MICA Tape - industrial composite",0
"Calcinied MICA Tape","NEMA G30","Calcinied MICA Tape - industrial composite",0
"Glass Fabric Laminates |","NEMA G30","Glass Fabric Laminates | - industrial composite",0
"NEMA G30","NEMA G30","NEMA G30 - industrial composite",0
"Excellent chemical resistance & radiation resistance","NEMA G30","Excellent chemical resistance & radiation resistance - industrial composite",0
"RoHS, Reach certified products","NEMA G30","RoHS, Reach certified products - industrial composite",0
"GPO3","NEMA G30","GPO3 - industrial composite",0
"Products","NEMA G3","Products - industrial composite",0
"Glass Fabric Laminates","NEMA G3","Glass Fabric Laminates - industrial composite",0
"Glass Matte Laminates","NEMA G3","Glass Matte Laminates - industrial composite",0
"Speciality Laminates","NEMA G3","Speciality Laminates - industrial composite",0
"MICA","NEMA G3","MICA - industrial composite",0
"Tubes And Cylinders","NEMA G3","Tubes And Cylinders - industrial composite",0
"Threaded Rods","NEMA G3","Threaded Rods - industrial composite",0
"FR4 / EPGC 202","NEMA G3","FR4 / EPGC 202 - industrial composite",0
"G10 / EPGC 201","NEMA G3","G10 / EPGC 201 - industrial composite",0
"G11 / EPGC 202","NEMA G3","G11 / EPGC 202 - industrial composite",0
"G7 / SIGC 202","NEMA G3","G7 / SIGC 202 - industrial composite",0
"G30 / PFGC 301","NEMA G3","G30 / PFGC 301 - industrial composite",0
"GPO1 / UPGM 201","NEMA G3","GPO1 / UPGM 201 - industrial composite",0
"GPO2 / UPGM 202","NEMA G3","GPO2 / UPGM 202 - industrial composite",0
"GPO3 / UPGM 203","NEMA G3","GPO3 / UPGM 203 - industrial composite",0
"SG204 / GPO1","NEMA G3","SG204 / GPO1 - industrial composite",0
"HT276 / UPGM 204/205","NEMA G3","HT276 / UPGM 204/205 - industrial composite",0
"P1 / PF CP 201","NEMA G3","P1 / PF CP 201 - industrial composite",0
"P2 / PF CP 207","NEMA G3","P2 / PF CP 207 - industrial composite",0
"P3 / PF CP 203","NEMA G3","P3 / PF CP 203 - industrial composite",0
"P4 / PF CP 204","NEMA G3","P4 / PF CP 204 - industrial composite",0
"F2 / PF CC 202 / 305","NEMA G3","F2 / PF CC 202 / 305 - industrial composite",0
"F3 / PF CC 203","NEMA G3","F3 / PF CC 203 - industrial composite",0
"F4 / PF CC 204","NEMA G3","F4 / PF CC 204 - industrial composite",0
"F5 / PF CC 204","NEMA G3","F5 / PF CC 204 - industrial composite",0
"Magnetic Laminates","NEMA G3","Magnetic Laminates - industrial composite",0
"MICA Tubes","NEMA G3","MICA Tubes - industrial composite",0
"MICA Sheet","NEMA G3","MICA Sheet - industrial composite",0
"MICA Paper","NEMA G3","MICA Paper - industrial composite",0
"MICA Tape","NEMA G3","MICA Tape - industrial composite",0
"Synthetic MICA Tape","NEMA G3","Synthetic MICA Tape - industrial composite",0
"Muscovite MICA Tape","NEMA G3","Muscovite MICA Tape - industrial composite",0
"Phlogophite MICA Tape","NEMA G3","Phlogophite MICA Tape - industrial composite",0
"Calcinied MICA Tape","NEMA G3","Calcinied MICA Tape - industrial composite",0
"Glass Fabric Laminates |","NEMA G3","Glass Fabric Laminates | - industrial composite",0
"NEMA G3","NEMA G3","NEMA G3 - industrial composite",0
"Excellent chemical resistance & radiation resistance","NEMA G3","Excellent chemical resistance & radiation resistance - industrial composite",0
"RoHS, Reach certified products","NEMA G3","RoHS, Reach certified products - industrial composite",0
"GPO3","NEMA G3","GPO3 - industrial composite",0
"Products","NEMA GPO-1","Products - industrial composite",0
"Glass Fabric Laminates","NEMA GPO-1","Glass Fabric Laminates - industrial composite",0
"Glass Matte Laminates","NEMA GPO-1","Glass Matte Laminates - industrial composite",0
"Speciality Laminates","NEMA GPO-1","Speciality Laminates - industrial composite",0
"MICA","NEMA GPO-1","MICA - industrial composite",0
"Tubes And Cylinders","NEMA GPO-1","Tubes And Cylinders - industrial composite",0
"Threaded Rods","NEMA GPO-1","Threaded Rods - industrial composite",0
"FR4 / EPGC 202","NEMA GPO-1","FR4 / EPGC 202 - industrial composite",0
"G10 / EPGC 201","NEMA GPO-1","G10 / EPGC 201 - industrial composite",0
"G11 / EPGC 202","NEMA GPO-1","G11 / EPGC 202 - industrial composite",0
"G7 / SIGC 202","NEMA GPO-1","G7 / SIGC 202 - industrial composite",0
"G30 / PFGC 301","NEMA GPO-1","G30 / PFGC 301 - industrial composite",0
"GPO1 / UPGM 201","NEMA GPO-1","GPO1 / UPGM 201 - industrial composite",0
"GPO2 / UPGM 202","NEMA GPO-1","GPO2 / UPGM 202 - industrial composite",0
"GPO3 / UPGM 203","NEMA GPO-1","GPO3 / UPGM 203 - industrial composite",0
"SG204 / GPO1","NEMA GPO-1","SG204 / GPO1 - industrial composite",0
"HT276 / UPGM 204/205","NEMA GPO-1","HT276 / UPGM 204/205 - industrial composite",0
"P1 / PF CP 201","NEMA GPO-1","P1 / PF CP 201 - industrial composite",0
"P2 / PF CP 207","NEMA GPO-1","P2 / PF CP 207 - industrial composite",0
"P3 / PF CP 203","NEMA GPO-1","P3 / PF CP 203 - industrial composite",0
"P4 / PF CP 204","NEMA GPO-1","P4 / PF CP 204 - industrial composite",0
"F2 / PF CC 202 / 305","NEMA GPO-1","F2 / PF CC 202 / 305 - industrial composite",0
"F3 / PF CC 203","NEMA GPO-1","F3 / PF CC 203 - industrial composite",0
"F4 / PF CC 204","NEMA GPO-1","F4 / PF CC 204 - industrial composite",0
"F5 / PF CC 204","NEMA GPO-1","F5 / PF CC 204 - industrial composite",0
"Magnetic Laminates","NEMA GPO-1","Magnetic Laminates - industrial composite",0
"MICA Tubes","NEMA GPO-1","MICA Tubes - industrial composite",0
"MICA Sheet","NEMA GPO-1","MICA Sheet - industrial composite",0
"MICA Paper","NEMA GPO-1","MICA Paper - industrial composite",0
"MICA Tape","NEMA GPO-1","MICA Tape - industrial composite",0
"Synthetic MICA Tape","NEMA GPO-1","Synthetic MICA Tape - industrial composite",0
"Muscovite MICA Tape","NEMA GPO-1","Muscovite MICA Tape - industrial composite",0
"Phlogophite MICA Tape","NEMA GPO-1","Phlogophite MICA Tape - industrial composite",0
"Calcinied MICA Tape","NEMA GPO-1","Calcinied MICA Tape - industrial composite",0
"Glass Matte Laminates |","NEMA GPO-1","Glass Matte Laminates | - industrial composite",0
"NEMA GPO-1","NEMA GPO-1","NEMA GPO-1 - industrial composite",0
"Chemical and moisture resistance: The material has excellent resistance to moisture, chemicals, and UV radiation.","NEMA GPO-1","Chemical and moisture resistance: The material has excellent resistance to moisture, chemicals, and UV radiation. - industrial composite",0
"GPO-1","NEMA GPO-1","GPO-1 - industrial composite",0
"GPO-2","NEMA GPO-1","GPO-2 - industrial composite",0
"GPO-3","NEMA GPO-1","GPO-3 - industrial composite",0
"SG204","NEMA GPO-1","SG204 - industrial composite",0
"HT276","NEMA GPO-1","HT276 - industrial composite",0
"Products","NEMA GPO-2","Products - industrial composite",0
"Glass Fabric Laminates","NEMA GPO-2","Glass Fabric Laminates - industrial composite",0
"Glass Matte Laminates","NEMA GPO-2","Glass Matte Laminates - industrial composite",0
"Speciality Laminates","NEMA GPO-2","Speciality Laminates - industrial composite",0
"MICA","NEMA GPO-2","MICA - industrial composite",0
"Tubes And Cylinders","NEMA GPO-2","Tubes And Cylinders - industrial composite",0
"Threaded Rods","NEMA GPO-2","Threaded Rods - industrial composite",0
"FR4 / EPGC 202","NEMA GPO-2","FR4 / EPGC 202 - industrial composite",0
"G10 / EPGC 201","NEMA GPO-2","G10 / EPGC 201 - industrial composite",0
"G11 / EPGC 202","NEMA GPO-2","G11 / EPGC 202 - industrial composite",0
"G7 / SIGC 202","NEMA GPO-2","G7 / SIGC 202 - industrial composite",0
"G30 / PFGC 301","NEMA GPO-2","G30 / PFGC 301 - industrial composite",0
"GPO1 / UPGM 201","NEMA GPO-2","GPO1 / UPGM 201 - industrial composite",0
"GPO2 / UPGM 202","NEMA GPO-2","GPO2 / UPGM 202 - industrial composite",0
"GPO3 / UPGM 203","NEMA GPO-2","GPO3 / UPGM 203 - industrial composite",0
"SG204 / GPO1","NEMA GPO-2","SG204 / GPO1 - industrial composite",0
"HT276 / UPGM 204/205","NEMA GPO-2","HT276 / UPGM 204/205 - industrial composite",0
"P1 / PF CP 201","NEMA GPO-2","P1 / PF CP 201 - industrial composite",0
"P2 / PF CP 207","NEMA GPO-2","P2 / PF CP 207 - industrial composite",0
"P3 / PF CP 203","NEMA GPO-2","P3 / PF CP 203 - industrial composite",0
"P4 / PF CP 204","NEMA GPO-2","P4 / PF CP 204 - industrial composite",0
"F2 / PF CC 202 / 305","NEMA GPO-2","F2 / PF CC 202 / 305 - industrial composite",0
"F3 / PF CC 203","NEMA GPO-2","F3 / PF CC 203 - industrial composite",0
"F4 / PF CC 204","NEMA GPO-2","F4 / PF CC 204 - industrial composite",0
"F5 / PF CC 204","NEMA GPO-2","F5 / PF CC 204 - industrial composite",0
"Magnetic Laminates","NEMA GPO-2","Magnetic Laminates - industrial composite",0
"MICA Tubes","NEMA GPO-2","MICA Tubes - industrial composite",0
"MICA Sheet","NEMA GPO-2","MICA Sheet - industrial composite",0
"MICA Paper","NEMA GPO-2","MICA Paper - industrial composite",0
"MICA Tape","NEMA GPO-2","MICA Tape - industrial composite",0
"Synthetic MICA Tape","NEMA GPO-2","Synthetic MICA Tape - industrial composite",0
"Muscovite MICA Tape","NEMA GPO-2","Muscovite MICA Tape - industrial composite",0
"Phlogophite MICA Tape","NEMA GPO-2","Phlogophite MICA Tape - industrial composite",0
"Calcinied MICA Tape","NEMA GPO-2","Calcinied MICA Tape - industrial composite",0
"Glass Matte Laminates |","NEMA GPO-2","Glass Matte Laminates | - industrial composite",0
"NEMA GPO-2","NEMA GPO-2","NEMA GPO-2 - industrial composite",0
"GPO-2","NEMA GPO-2","GPO-2 - industrial composite",0
"GPO-3","NEMA GPO-2","GPO-3 - industrial composite",0
"SG204","NEMA GPO-2","SG204 - industrial composite",0
"HT276","NEMA GPO-2","HT276 - industrial composite",0
"Products","NEMA GPO3","Products - industrial composite",0
"Glass Fabric Laminates","NEMA GPO3","Glass Fabric Laminates - industrial composite",0
"Glass Matte Laminates","NEMA GPO3","Glass Matte Laminates - industrial composite",0
"Speciality Laminates","NEMA GPO3","Speciality Laminates - industrial composite",0
"MICA","NEMA GPO3","MICA - industrial composite",0
"Tubes And Cylinders","NEMA GPO3","Tubes And Cylinders - industrial composite",0
"Threaded Rods","NEMA GPO3","Threaded Rods - industrial composite",0
"FR4 / EPGC 202","NEMA GPO3","FR4 / EPGC 202 - industrial composite",0
"G10 / EPGC 201","NEMA GPO3","G10 / EPGC 201 - industrial composite",0
"G11 / EPGC 202","NEMA GPO3","G11 / EPGC 202 - industrial composite",0
"G7 / SIGC 202","NEMA GPO3","G7 / SIGC 202 - industrial composite",0
"G30 / PFGC 301","NEMA GPO3","G30 / PFGC 301 - industrial composite",0
"GPO1 / UPGM 201","NEMA GPO3","GPO1 / UPGM 201 - industrial composite",0
"GPO2 / UPGM 202","NEMA GPO3","GPO2 / UPGM 202 - industrial composite",0
"GPO3 / UPGM 203","NEMA GPO3","GPO3 / UPGM 203 - industrial composite",0
"SG204 / GPO1","NEMA GPO3","SG204 / GPO1 - industrial composite",0
"HT276 / UPGM 204/205","NEMA GPO3","HT276 / UPGM 204/205 - industrial composite",0
"P1 / PF CP 201","NEMA GPO3","P1 / PF CP 201 - industrial composite",0
"P2 / PF CP 207","NEMA GPO3","P2 / PF CP 207 - industrial composite",0
"P3 / PF CP 203","NEMA GPO3","P3 / PF CP 203 - industrial composite",0
"P4 / PF CP 204","NEMA GPO3","P4 / PF CP 204 - industrial composite",0
"F2 / PF CC 202 / 305","NEMA GPO3","F2 / PF CC 202 / 305 - industrial composite",0
"F3 / PF CC 203","NEMA GPO3","F3 / PF CC 203 - industrial composite",0
"F4 / PF CC 204","NEMA GPO3","F4 / PF CC 204 - industrial composite",0
"F5 / PF CC 204","NEMA GPO3","F5 / PF CC 204 - industrial composite",0
"Magnetic Laminates","NEMA GPO3","Magnetic Laminates - industrial composite",0
"MICA Tubes","NEMA GPO3","MICA Tubes - industrial composite",0
"MICA Sheet","NEMA GPO3","MICA Sheet - industrial composite",0
"MICA Paper","NEMA GPO3","MICA Paper - industrial composite",0
"MICA Tape","NEMA GPO3","MICA Tape - industrial composite",0
"Synthetic MICA Tape","NEMA GPO3","Synthetic MICA Tape - industrial composite",0
"Muscovite MICA Tape","NEMA GPO3","Muscovite MICA Tape - industrial composite",0
"Phlogophite MICA Tape","NEMA GPO3","Phlogophite MICA Tape - industrial composite",0
"Calcinied MICA Tape","NEMA GPO3","Calcinied MICA Tape - industrial composite",0
"Glass Matte Laminates |","NEMA GPO3","Glass Matte Laminates | - industrial composite",0
"NEMA GPO3","NEMA GPO3","NEMA GPO3 - industrial composite",0
"Excellent chemical resistance & radiation resistance","NEMA GPO3","Excellent chemical resistance & radiation resistance - industrial composite",0
"RoHS, Reach certified products","NEMA GPO3","RoHS, Reach certified products - industrial composite",0
"Products","NEMA SG 204","Products - industrial composite",0
"Glass Fabric Laminates","NEMA SG 204","Glass Fabric Laminates - industrial composite",0
"Glass Matte Laminates","NEMA SG 204","Glass Matte Laminates - industrial composite",0
"Speciality Laminates","NEMA SG 204","Speciality Laminates - industrial composite",0
"MICA","NEMA SG 204","MICA - industrial composite",0
"Tubes And Cylinders","NEMA SG 204","Tubes And Cylinders - industrial composite",0
"Threaded Rods","NEMA SG 204","Threaded Rods - industrial composite",0
"FR4 / EPGC 202","NEMA SG 204","FR4 / EPGC 202 - industrial composite",0
"G10 / EPGC 201","NEMA SG 204","G10 / EPGC 201 - industrial composite",0
"G11 / EPGC 202","NEMA SG 204","G11 / EPGC 202 - industrial composite",0
"G7 / SIGC 202","NEMA SG 204","G7 / SIGC 202 - industrial composite",0
"G30 / PFGC 301","NEMA SG 204","G30 / PFGC 301 - industrial composite",0
"GPO1 / UPGM 201","NEMA SG 204","GPO1 / UPGM 201 - industrial composite",0
"GPO2 / UPGM 202","NEMA SG 204","GPO2 / UPGM 202 - industrial composite",0
"GPO3 / UPGM 203","NEMA SG 204","GPO3 / UPGM 203 - industrial composite",0
"SG204 / GPO1","NEMA SG 204","SG204 / GPO1 - industrial composite",0
"HT276 / UPGM 204/205","NEMA SG 204","HT276 / UPGM 204/205 - industrial composite",0
"P1 / PF CP 201","NEMA SG 204","P1 / PF CP 201 - industrial composite",0
"P2 / PF CP 207","NEMA SG 204","P2 / PF CP 207 - industrial composite",0
"P3 / PF CP 203","NEMA SG 204","P3 / PF CP 203 - industrial composite",0
"P4 / PF CP 204","NEMA SG 204","P4 / PF CP 204 - industrial composite",0
"F2 / PF CC 202 / 305","NEMA SG 204","F2 / PF CC 202 / 305 - industrial composite",0
"F3 / PF CC 203","NEMA SG 204","F3 / PF CC 203 - industrial composite",0
"F4 / PF CC 204","NEMA SG 204","F4 / PF CC 204 - industrial composite",0
"F5 / PF CC 204","NEMA SG 204","F5 / PF CC 204 - industrial composite",0
"Magnetic Laminates","NEMA SG 204","Magnetic Laminates - industrial composite",0
"MICA Tubes","NEMA SG 204","MICA Tubes - industrial composite",0
"MICA Sheet","NEMA SG 204","MICA Sheet - industrial composite",0
"MICA Paper","NEMA SG 204","MICA Paper - industrial composite",0
"MICA Tape","NEMA SG 204","MICA Tape - industrial composite",0
"Synthetic MICA Tape","NEMA SG 204","Synthetic MICA Tape - industrial composite",0
"Muscovite MICA Tape","NEMA SG 204","Muscovite MICA Tape - industrial composite",0
"Phlogophite MICA Tape","NEMA SG 204","Phlogophite MICA Tape - industrial composite",0
"Calcinied MICA Tape","NEMA SG 204","Calcinied MICA Tape - industrial composite",0
"Glass Matte Laminates |","NEMA SG 204","Glass Matte Laminates | - industrial composite",0
"NEMA SG 204","NEMA SG 204","NEMA SG 204 - industrial composite",0
"Chemical resistance: The material has good chemical resistance, which makes it suitable for use in harsh environments.","NEMA SG 204","Chemical resistance: The material has good chemical resistance, which makes it suitable for use in harsh environments. - industrial composite",0
"GPO-1","NEMA SG 204","GPO-1 - industrial composite",0
"GPO-2","NEMA SG 204","GPO-2 - industrial composite",0
"GPO-3","NEMA SG 204","GPO-3 - industrial composite",0
"SG204","NEMA SG 204","SG204 - industrial composite",0
"HT276","NEMA SG 204","HT276 - industrial composite",0
"Products","NEMA HT276","Products - industrial composite",0
"Glass Fabric Laminates","NEMA HT276","Glass Fabric Laminates - industrial composite",0
"Glass Matte Laminates","NEMA HT276","Glass Matte Laminates - industrial composite",0
"Speciality Laminates","NEMA HT276","Speciality Laminates - industrial composite",0
"MICA","NEMA HT276","MICA - industrial composite",0
"Tubes And Cylinders","NEMA HT276","Tubes And Cylinders - industrial composite",0
"Threaded Rods","NEMA HT276","Threaded Rods - industrial composite",0
"FR4 / EPGC 202","NEMA HT276","FR4 / EPGC 202 - industrial composite",0
"G10 / EPGC 201","NEMA HT276","G10 / EPGC 201 - industrial composite",0
"G11 / EPGC 202","NEMA HT276","G11 / EPGC 202 - industrial composite",0
"G7 / SIGC 202","NEMA HT276","G7 / SIGC 202 - industrial composite",0
"G30 / PFGC 301","NEMA HT276","G30 / PFGC 301 - industrial composite",0
"GPO1 / UPGM 201","NEMA HT276","GPO1 / UPGM 201 - industrial composite",0
"GPO2 / UPGM 202","NEMA HT276","GPO2 / UPGM 202 - industrial composite",0
"GPO3 / UPGM 203","NEMA HT276","GPO3 / UPGM 203 - industrial composite",0
"SG204 / GPO1","NEMA HT276","SG204 / GPO1 - industrial composite",0
"HT276 / UPGM 204/205","NEMA HT276","HT276 / UPGM 204/205 - industrial composite",0
"P1 / PF CP 201","NEMA HT276","P1 / PF CP 201 - industrial composite",0
"P2 / PF CP 207","NEMA HT276","P2 / PF CP 207 - industrial composite",0
"P3 / PF CP 203","NEMA HT276","P3 / PF CP 203 - industrial composite",0
"P4 / PF CP 204","NEMA HT276","P4 / PF CP 204 - industrial composite",0
"F2 / PF CC 202 / 305","NEMA HT276","F2 / PF CC 202 / 305 - industrial composite",0
"F3 / PF CC 203","NEMA HT276","F3 / PF CC 203 - industrial composite",0
"F4 / PF CC 204","NEMA HT276","F4 / PF CC 204 - industrial composite",0
"F5 / PF CC 204","NEMA HT276","F5 / PF CC 204 - industrial composite",0
"Magnetic Laminates","NEMA HT276","Magnetic Laminates - industrial composite",0
"MICA Tubes","NEMA HT276","MICA Tubes - industrial composite",0
"MICA Sheet","NEMA HT276","MICA Sheet - industrial composite",0
"MICA Paper","NEMA HT276","MICA Paper - industrial composite",0
"MICA Tape","NEMA HT276","MICA Tape - industrial composite",0
"Synthetic MICA Tape","NEMA HT276","Synthetic MICA Tape - industrial composite",0
"Muscovite MICA Tape","NEMA HT276","Muscovite MICA Tape - industrial composite",0
"Phlogophite MICA Tape","NEMA HT276","Phlogophite MICA Tape - industrial composite",0
"Calcinied MICA Tape","NEMA HT276","Calcinied MICA Tape - industrial composite",0
"Glass Matte Laminates |","NEMA HT276","Glass Matte Laminates | - industrial composite",0
"NEMA HT276","NEMA HT276","NEMA HT276 - industrial composite",0
"GPO-1","NEMA HT276","GPO-1 - industrial composite",0
"GPO-2","NEMA HT276","GPO-2 - industrial composite",0
"GPO-3","NEMA HT276","GPO-3 - industrial composite",0
"SG204","NEMA HT276","SG204 - industrial composite",0
"HT276","NEMA HT276","HT276 - industrial composite",0
"Products","NEMA P1","Products - industrial composite",0
"Glass Fabric Laminates","NEMA P1","Glass Fabric Laminates - industrial composite",0
"Glass Matte Laminates","NEMA P1","Glass Matte Laminates - industrial composite",0
"Speciality Laminates","NEMA P1","Speciality Laminates - industrial composite",0
"MICA","NEMA P1","MICA - industrial composite",0
"Tubes And Cylinders","NEMA P1","Tubes And Cylinders - industrial composite",0
"Threaded Rods","NEMA P1","Threaded Rods - industrial composite",0
"FR4 / EPGC 202","NEMA P1","FR4 / EPGC 202 - industrial composite",0
"G10 / EPGC 201","NEMA P1","G10 / EPGC 201 - industrial composite",0
"G11 / EPGC 202","NEMA P1","G11 / EPGC 202 - industrial composite",0
"G7 / SIGC 202","NEMA P1","G7 / SIGC 202 - industrial composite",0
"G30 / PFGC 301","NEMA P1","G30 / PFGC 301 - industrial composite",0
"GPO1 / UPGM 201","NEMA P1","GPO1 / UPGM 201 - industrial composite",0
